ISCO-88 Title,ISCO-88 code,ISCO-08 code,,ISCO-08 Title,Comments
Legislators,1110,1111,,Legislators,
Senior Government Officials,1120,1112,,Senior Government Officials,
Traditional Chiefs and Heads of Villages,1130,1113,,Traditional Chiefs and Heads of Villages,
Senior Officials of Political-party Organisations,1141,1114,p,Senior Officials of Special-interest Organizations,
"Senior Officials of Employers', Workers' and Other Economic-interest Organisations",1142,1114,p,Senior Officials of Special-interest Organizations,
Senior Officials of Humanitarian and Other Special-interest Organisations,1143,1114,p,Senior officials of Special-interest Organizations,
Directors and Chief Executives,1210,1120,,Managing Directors and Chief Executives,
"Production and Operations Department Managers in Agriculture, Hunting, Forestry and Fishing",1221,1311,,Agricultural and Forestry Production Managers,
"Production and Operations Department Managers in Agriculture, Hunting, Forestry and Fishing",1221,1312,,Aquaculture and Fisheries Production Managers,
Production and Operations Department Managers in Manufacturing,1222,1321,p,Manufacturing Managers,
Production and Operations Department Managers in Manufacturing,1222,1322,p,Mining Managers,
Production and Operations Department Managers in Construction,1223,1323,p,Construction Managers,
Production and Operations Department Managers in Construction,1223,3123,p,Construction Supervisors,
Production and Operations Department Managers in Wholesale and Retail Trade,1224,1420,p,Retail and Wholesale Trade Managers,
Production and Operations Department Managers in Restaurants and Hotels,1225,1411,p,Hotel Managers,
Production and Operations Department Managers in Restaurants and Hotels,1225,1412,p,Restaurant Managers,
"Production and Operations Department Managers in Transport, Storage and Communications",1226,1324,p,"Supply, Distribution and Related Managers","Postmasters,  station masters, transport, storage and distribution department managers"
"Production and Operations Department Managers in Transport, Storage and Communications",1226,1330,p,Information and Communications Technology Services Managers,Telecommunications department managers
Production and Operations Department Managers in Business Services,1227,1219,p,Business Services and Administration Managers Not Elsewhere Classified,
Production and Operations Department Managers in Business Services,1227,1346,,Financial and Insurance Services Branch Managers,
"Production and Operations Department Managers in Personal Care, Cleaning and Related Services",1228,1219,p,Business Services and Administration Managers Not Elsewhere Classified,Building services and cleaning department managers
Production and Operations Department Managers Not Elsewhere Classified,1229,1213,p,Policy and Planning Managers, 
Production and Operations Department Managers Not Elsewhere Classified,1229,1219,p,Business Services and Administration Managers Not Elsewhere Classified,
Production and Operations Department Managers Not Elsewhere Classified,1229,1341,p,Child Care Services Managers,
Production and Operations Department Managers Not Elsewhere Classified,1229,1342,p,Health Services Managers,
Production and Operations Department Managers Not Elsewhere Classified,1229,1343,p,Aged Care Services Managers,
Production and Operations Department Managers Not Elsewhere Classified,1229,1344,p,Social Welfare Managers,
Production and Operations Department Managers Not Elsewhere Classified,1229,1345,p,Education Managers,
Production and Operations Department Managers Not Elsewhere Classified,1229,1349,p,Professional Services Managers Not Elsewhere Classified,
Production and Operations Department Managers Not Elsewhere Classified,1229,1439,p,Services Managers Not Elsewhere Classified,
Production and Operations Department Managers Not Elsewhere Classified,1229,2654,p,"Film, Stage and Related Directors and Producers",
Production and Operations Department Managers Not Elsewhere Classified,1229,3435,p,Other Artistic and Cultural Associate Professionals,Stage managers
Finance and Administration Department Managers,1231,1211,p,Finance Managers,
Finance and Administration Department Managers,1231,1219,p,Business Services and Administration Managers Not Elsewhere Classified,Administration department managers
Personnel and Industrial Relations Department Managers,1232,1212,p,Human Resource Managers,
Sales and Marketing Department Managers,1233,1221,p,Sales and Marketing Managers,
Advertising and Public Relations Department Managers,1234,1222,p,Advertising and Public Relations Managers,
Supply and Distribution Department Managers,1235,1324,p,"Supply, Distribution and Related Managers",
Computing Services Department Managers,1236,1330,p,Information and Communications Technology Services Managers,
Research and Development Department Managers,1237,1223,p,Research and Development Managers,
Other Department Managers Not Elsewhere Classified,1239,1213,p,Policy and Planning Managers,"Managers of planning and policy departments in establishments other than those in public administration, compulsory social security, education, health, social work, extraterritorial organizations and bodies, and recreational, cultural and sporting activities (as defined in ISIC Rev. 3)."
"General Managers in Agriculture, Hunting, Forestry and Fishing",1311,6111,p,Field Crop and Vegetable Growers,
"General Managers in Agriculture, Hunting, Forestry and Fishing",1311,6112,p,Tree and Shrub Crop Growers,
"General Managers in Agriculture, Hunting, Forestry and Fishing",1311,6113,p,Gardeners; Horticultural and Nursery Growers,
"General Managers in Agriculture, Hunting, Forestry and Fishing",1311,6114,p,Mixed Crop Growers,
"General Managers in Agriculture, Hunting, Forestry and Fishing",1311,6121,p,Livestock and Dairy Producers,
"General Managers in Agriculture, Hunting, Forestry and Fishing",1311,6122,p,Poultry Producers,
"General Managers in Agriculture, Hunting, Forestry and Fishing",1311,6130,p,Mixed Crop and Animal Producers,
"General Managers in Agriculture, Hunting, Forestry and Fishing",1311,6210,p,Forestry and Related Workers,
"General Managers in Agriculture, Hunting, Forestry and Fishing",1311,6221,p,Aquaculture Workers,
"General Managers in Agriculture, Hunting, Forestry and Fishing",1311,6222,p,Inland and Coastal Waters Fishery Workers,
"General Managers in Agriculture, Hunting, Forestry and Fishing",1311,6223,p,Deep-sea Fishery Workers,
General Managers in Manufacturing,1312,1321,p,Manufacturing Managers,
General Managers in Manufacturing,1312,1322,p,Mining Managers,Managers of small mining and quarrying businesses
General Managers in Construction,1313,1323,p,Construction Managers,
General Managers in Wholesale and Retail Trade,1314,1420,p,Retail and Wholesale Trade Managers,
General Managers in Wholesale and Retail Trade,1314,5221,,Shopkeepers,
General Managers of Restaurants and Hotels,1315,1411,p,Hotel Managers,
General Managers of Restaurants and Hotels,1315,1412,p,Restaurant Managers,
"General Managers in Transport, Storage and Communications",1316,1324,p,"Supply, Distribution and Related Managers",
"General Managers in Transport, Storage and Communications",1316,1330,p,Information and Communications Technology Services Managers,
General Managers of Business Services,1317,1211,p,Finance Managers,Managers of establishments providing accounting or similar services
General Managers of Business Services,1317,1212,p,Human Resource Managers,Managers of establishments providing human resource and recruitment services
General Managers of Business Services,1317,1219,p,Business Services and Administration Managers Not Elsewhere Classified,
General Managers of Business Services,1317,1221,p,Sales and Marketing Managers,Managers of marketing companies
General Managers of Business Services,1317,1222,p,Advertising and Public Relations Managers,Managers of advertising and public relations companies
General Managers of Business Services,1317,1330,p,Information and Communications Technology services Managers,Managers of small computing and telecommunications companies
General Managers of Business Services,1317,1346,,Financial and Insurance Services Branch Managers,
"General Managers in Personal Care, Cleaning and Related Services",1318,1219,p,Business Services and Administration Managers Not Elsewhere classified,Managers of contract cleaning companies
General Managers Not Elsewhere Classified,1319,1223,p,Research and Development Managers,Research and development company managers
General Managers Not Elsewhere Classified,1319,1341,p,Child Care Services Managers,
